Date,Nifty 50_Open,Nifty 50_High,Nifty 50_Low,Nifty 50_Close,Nifty 50_Volume
03-07-2006,3128.8,3160.4,3114.9,3151.0,66600000
04-07-2006,3151.1,3177.4,3130.3,3138.7,66680000
05-07-2006,3137.0,3201.2,3121.8,3197.1,90420000
06-07-2006,3197.5,3197.5,3138.4,3156.4,74890000
07-07-2006,3158.0,3193.1,3056.3,3075.9,90060000
10-07-2006,3077.1,3147.7,3064.1,3142.0,65280000
11-07-2006,3145.3,3146.0,3100.4,3116.2,66340000
12-07-2006,3125.0,3201.4,3078.3,3195.9,93620000
13-07-2006,3196.3,3208.9,3149.0,3169.3,81620000
14-07-2006,3166.3,3166.3,3089.6,3123.4,61510000
17-07-2006,3123.7,3125.1,2999.4,3007.6,60050000
18-07-2006,3007.2,3038.3,2968.0,2993.7,70490000
19-07-2006,2995.9,3045.4,2920.0,2932.8,79090000
20-07-2006,2943.7,3041.3,2943.7,3023.1,77710000
21-07-2006,3025.1,3029.1,2930.2,2945.0,74880000
24-07-2006,2944.9,2996.7,2878.3,2985.9,78140000
25-07-2006,2989.5,3047.0,2987.2,3040.5,70650000
26-07-2006,3040.5,3121.4,3022.7,3110.2,77140000
27-07-2006,3109.9,3167.1,3109.9,3156.2,106690000
28-07-2006,3158.0,3168.5,3109.5,3130.8,81280000
31-07-2006,3131.4,3179.7,3110.6,3143.2,61680000
01-08-2006,3128.2,3154.7,3113.6,3147.8,57030000
02-08-2006,3129.5,3187.9,3127.9,3182.1,55480000
03-08-2006,3182.6,3234.3,3175.2,3190.0,69090000
04-08-2006,3189.7,3228.2,3161.8,3176.8,69530000
07-08-2006,3176.7,3178.5,3142.6,3151.1,50260000
08-08-2006,3151.6,3216.8,3151.6,3212.4,52270000
09-08-2006,3211.6,3267.2,3187.9,3254.6,71780000
10-08-2006,3254.6,3274.8,3229.5,3260.1,59290000
11-08-2006,3260.1,3286.5,3237.0,3274.4,63500000
14-08-2006,3275.0,3317.8,3269.2,3313.1,51600000
